CodIBGE,Index,DtInicial,DtFinal,Regiao,Estado,Cidade,Produto,NmPostPesq,UnidMedida,PcMedRev,PcDevRev,PcMinRev,PcMaxRev,MgMedRev,CfVarRev,PcMedDist,PcDevDist,PcMinDist,PcMaxDist,MgMedDist,CfVarDist,Periodo,Combust,TipoRelat,DistMean,DistDev,DistMin,DistMax,RefinMean,RefinDev,RefinMin,RefinMax,PIB_2016,PIB_2017,PIBCap2016,PIBCap2017,ChgPIB,ChgPIBCap,PopEst
2927408,39503,2020-04-26,2020-05-02,NORDESTE,BAHIA,SALVADOR,GASOLINA COMUM,87,R$/l,3.918,0.087118766620405,3.82,4.479,0.625,0.022,3.293,0.109275859067774,3.101,3.489,0.033,NA,05/01/2020 EM DIANTE,TODOS,NA,47.03452139054875,19.313159870856488,34.046157759421064,87.98296343383292,1306.5179271525635,726.2190755791466,35.55743528072531,2602.9089487923784,61168158.114,62717483.401,20819.01,21231.48,0.025328951120491,0.019812181270867,2872347
2928703,39517,2020-04-26,2020-05-02,NORDESTE,BAHIA,SANTO ANTONIO DE JESUS,GASOLINA COMUM,7,R$/l,4.118,0.09556972024952,3.989,4.19,0.554,0.023,3.564,0.20308555668322,3.3858,3.7849,0.057,NA,05/01/2020 EM DIANTE,TODOS,NA,83.19883794621398,8.746297384594042,76.86791021148707,108.00391266717266,1288.0808797406798,693.2646656012246,80.08441327361083,2523.8533465796486,2094970.044,2094611.493,20444.92,20268.73,-1.71148509272e-4,-0.008617788673176,101512
2930105,39546,2020-04-26,2020-05-02,NORDESTE,BAHIA,SENHOR DO BONFIM,GASOLINA COMUM,8,R$/l,4.455,0.121744389721134,4.29,4.599,1.086,0.027,3.369,0.083695400112551,3.2726,3.42,0.025,NA,05/01/2020 EM DIANTE,TODOS,NA,274.79611074186283,57.05799441246021,114.30837042819948,305.2818143305608,1397.19998023864,703.2546662264259,304.7792775193011,2685.804561267129,796343.762,813589.254,9859.52,10017.35,0.021655838625129,0.016007878679692,79015
2930501,39549,2020-04-26,2020-05-02,NORDESTE,BAHIA,SERRINHA,GASOLINA COMUM,5,R$/l,4.23,0.055226805085936,4.19,4.3,0.677,0.013,3.553,0.380832421588989,3.29,3.99,0.107,NA,05/01/2020 EM DIANTE,TODOS,NA,115.49019723014223,19.676780201473928,74.3118054186571,133.9561085981741,1351.9973760091877,734.0249396538818,124.89295754991701,2625.8892914155176,821646.012,851147.079,9944.76,10243.92,0.035904838055735,0.030082173928783,80861
2930709,39552,2020-04-26,2020-05-02,NORDESTE,BAHIA,SIMOES FILHO,GASOLINA COMUM,9,R$/l,4.022,0.208613345157441,3.84,4.56,0.715,0.052,3.307,0.091185152300142,3.2,3.41,0.028,NA,05/01/2020 EM DIANTE,TODOS,NA,30.255980606858667,19.679413986954195,17.035870890337687,72.44194257708345,1315.0510668113425,739.611829818423,17.463235551970847,2600.7323654490015,4998265.631,5322068.096,37113.81,39118.47,0.064782964513076,0.054013856297696,134377
2932903,39587,2020-04-26,2020-05-02,NORDESTE,BAHIA,VALENCA,GASOLINA COMUM,10,R$/l,4.404,0.170271808849524,3.999,4.499,1.066,0.039,3.338,0.104424816882542,3.127,3.4254,0.031,NA,05/01/2020 EM DIANTE,TODOS,NA,98.88917213779004,11.354700253486977,87.93599945361143,118.06878485884035,1280.3892061972338,687.0482809641051,91.36007684899131,2560.6851026121653,1407503.496,1435289.671,14354.52,14534.73,0.019741460734532,0.012554233788381,96562
5218003,39475,2020-04-26,2020-05-02,CENTRO OESTE,GOIAS,PORANGATU,GASOLINA COMUM,6,R$/l,4.287,0.167070843257184,4.05,4.4,0.757,0.039,3.53,0,3.5302,3.5302,0,NA,05/01/2020 EM DIANTE,TODOS,NA,290.0190838634707,76.14696786144393,125.86021943447741,360.659569387407,1374.5912455748194,316.84197733843064,901.5181855927401,2082.1689338860597,843256.524,921704.493,18716.16,20344.43,0.093029780105206,0.0869980808029,45394
3541406,39484,2020-04-26,2020-05-02,SUDESTE,SAO PAULO,PRESIDENTE PRUDENTE,GASOLINA COMUM,19,R$/l,3.57,0.150808735999614,3.399,3.879,0.403,0.042,3.167,0.027886496134629,3.1489,3.2078,0.009,NA,05/01/2020 EM DIANTE,TODOS,NA,109.87945211156551,71.23220056489535,2.833376500655807,183.8780172301478,1248.9218754961878,757.6074645439774,432.5609315365516,2478.9056558832426,7397140.445,7806812.759,33059.99,34655.21,0.055382524780493,0.048252283197908,228743
4203006,39220,2020-04-26,2020-05-02,SUL,SANTA CATARINA,CACADOR,GASOLINA COMUM,8,R$/l,3.871,0.1122280840839,3.739,4.091,0.607,0.029,3.264,0.096430493102545,3.1588,3.3482,0.03,NA,05/01/2020 EM DIANTE,TODOS,NA,162.70404298417665,36.61722041576155,88.2279202097921,211.75726960383858,1351.1306964077655,966.4137138303169,213.28374819178808,2880.309397278858,2733644.562,3073698.157,35700.78,39751.41,0.124395687620489,0.113460546240166,78595
4302105,39204,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,BENTO GONCALVES,GASOLINA COMUM,10,R$/l,4.194,0.140650907490061,3.988,4.299,NA,0.034,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,NA,106.95261615247635,46.52949651014047,53.720092848294286,193.24651542213206,1515.6603952847659,1041.5086414089292,85.3106499711331,3135.643445247079,5151925.385,5531265.954,45112,48069.12,0.073630835202789,0.065550629544245,120454
4309308,39308,2020-04-26,2020-05-02,SUL,RIO GRANDE DO SUL,GUAIBA,GASOLINA COMUM,8,R$/l,3.977,0.02335097122483,3.95,3.999,0.607,0.006,3.37,0.025343598797329,3.3472,3.3972,0.008,NA,05/01/2020 EM DIANTE,TODOS,NA,98.96403552113844,92.68379516214449,29.4464318820696,244.81693529637482,1570.4152463901091,1069.371343500437,30.273583825265916,3218.735846371145,5944685.739,5629241.991,59934.73,56669.84,-0.053063149483334,-0.054474092066486,98143
5211909,39362,2020-04-26,2020-05-02,CENTRO OESTE,GOIAS,JATAI,GASOLINA COMUM,13,R$/l,4.098,0.131496807019829,3.85,4.299,0.608,0.032,3.49,0.339411254969543,3.25,3.73,0.097,NA,05/01/2020 EM DIANTE,TODOS,NA,267.5797410040564,60.16012810749742,155.04774545928385,306.95693212596507,1331.6739375410182,503.93500741430336,718.8755272732712,2185.3574057822034,4124965.263,4510376.049,42491.68,45964.21,0.093433704631902,0.08172258663343,100882
5218805,39498,2020-04-26,2020-05-02,CENTRO OESTE,GOIAS,RIO VERDE,GASOLINA COMUM,15,R$/l,3.953,0.128006584652063,3.82,4.199,NA,0.032,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,NA,232.34500064954963,11.154590368426987,221.72127209918105,260.89845073076316,1287.182046436594,503.47822392203864,674.9542981142788,2113.8410406326902,8619820.97,9498289.147,40614.13,43761.24,0.101912578005666,0.077488056496594,235647
2904605,39215,2020-04-26,2020-05-02,NORDESTE,BAHIA,BRUMADO,GASOLINA COMUM,5,R$/l,4.355,0.188637748078162,4.149,4.59,0.868,0.043,3.487,0.109357868182099,3.3818,3.6,0.031,NA,05/01/2020 EM DIANTE,TODOS,NA,319.24459168587407,79.33618882503687,173.13318599230465,372.50582297460716,1209.237507644199,553.0497923189965,373.81959660768564,2352.4746035379562,1373112.324,1699700.794,19764.69,24394,0.237845414604261,0.234221229880155,67195
2905206,39227,2020-04-26,2020-05-02,NORDESTE,BAHIA,CAETITE,GASOLINA COMUM,7,R$/l,4.409,0.16083369109262,4.279,4.699,1.01,0.036,3.399,0,3.399,3.399,0,NA,05/01/2020 EM DIANTE,TODOS,NA,350.7644775096533,83.5069464967949,196.26502793364395,437.7010783281473,1209.5685902826237,522.1317349969934,449.686392293678,2268.313816109223,637773.508,867207.901,12102.88,16407.92,0.359742745852655,0.355703766376267,50975
2911709,39309,2020-04-26,2020-05-02,NORDESTE,BAHIA,GUANAMBI,GASOLINA COMUM,10,R$/l,4.253,0.090051158299664,4.15,4.399,0.869,0.021,3.384,0,3.384,3.384,0,NA,05/01/2020 EM DIANTE,TODOS,NA,351.9734039562192,91.46119679221181,160.8866573002454,473.78228341475955,1202.4782201837015,510.209158137661,485.3422698527383,2250.2443337774866,1196901.953,1263761.417,13865.87,14558.12,0.055860435211438,0.04992474327251,84481
2918001,39364,2020-04-26,2020-05-02,NORDESTE,BAHIA,JEQUIE,GASOLINA COMUM,9,R$/l,4.344,0.186812740464884,3.959,4.49,0.927,0.043,3.417,0.155475504118663,3.2313,3.6388,0.046,NA,05/01/2020 EM DIANTE,TODOS,NA,167.52471536482196,82.51792001488617,2.445103695036707,214.49998985672914,1243.667942307647,625.9957585075063,207.73472304940324,2484.572577043394,2441995.168,2557370.367,15085.22,15765.9,0.047246284723197,0.045122311772715,155966
1600303,39393,2020-04-26,2020-05-02,NORTE,AMAPA,MACAPA,GASOLINA COMUM,24,R$/l,3.113,0.388323925369649,2.92,3.99,0.194,0.125,2.919,0.11431370579827,2.8307,3.048,0.039,NA,05/01/2020 EM DIANTE,TODOS,NA,499.99034270265884,158.4641143053751,327.1577051491793,728.8904531786541,2382.692062288084,631.5617773327665,1050.683299582576,3553.010835992651,9337263.882,9994877.203,20058.78,21054.88,0.070428910365029,0.049659052046037,503327
1600600,39511,2020-04-26,2020-05-02,NORTE,AMAPA,SANTANA,GASOLINA COMUM,4,R$/l,3.093,0.085780728216385,2.99,3.2,NA,0.028,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,NA,497.0307279998621,152.60210573057,334.4822948625443,713.5843573857975,2379.936940914952,628.5794869234489,1035.713045410335,3544.1130446424177,1758526.939,1909859.508,15445.46,16539.73,0.086056440560448,0.070847355792576,121364
4102000,39183,2020-04-26,2020-05-02,SUL,PARANA,ASSIS CHATEAUBRIAND,GASOLINA COMUM,9,R$/l,3.727,0.157797338380595,3.54,4.09,0.602,0.042,3.125,0,3.125,3.125,0,NA,05/01/2020 EM DIANTE,TODOS,NA,90.78407426163047,56.34643858805471,1.610640280266203,189.65157658785773,1430.9775571694659,843.1289430127836,438.36777527983804,2812.943464229241,1155198.28,1151648.642,33930.51,33808.38,-0.003072752151258,-0.003599415393403,33362
4104303,39238,2020-04-26,2020-05-02,SUL,PARANA,CAMPO MOURAO,GASOLINA COMUM,14,R$/l,3.662,0.246944548208925,3.29,3.99,0.367,0.067,3.295,0.360624458405139,3.04,3.55,0.109,NA,05/01/2020 EM DIANTE,TODOS,NA,103.83542648713299,30.768801397444435,45.98178107823881,144.15561411368165,1340.2187048206238,841.4098153031531,348.052225952386,2704.5603808393507,3362794.282,3435759.695,35947.64,36491.24,0.021697852107862,0.015121994100308,94859
4104808,39247,2020-04-26,2020-05-02,SUL,PARANA,CASCAVEL,GASOLINA COMUM,16,R$/l,3.823,0.152104788440952,3.59,4.09,NA,0.04,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,NA,93.86365954990325,77.39567690169307,10.039190383104918,204.87768378939998,1440.201258704691,868.1986665397764,417.7470552088193,2852.876022148098,10816720.288,11374860.961,34205.66,35590.04,0.05159980642369,0.040472249329497,328454
4105508,39256,2020-04-26,2020-05-02,SUL,PARANA,CIANORTE,GASOLINA COMUM,11,R$/l,3.863,0.158056376593348,3.73,4.19,0.733,0.041,3.13,0,3.13,3.13,0,NA,05/01/2020 EM DIANTE,TODOS,NA,93.28672940224287,47.56787542090055,2.913057600906123,159.052253277398,1349.274952044119,819.7628962757743,390.2733576832311,2688.5028544322818,2491858.229,2716202.148,31722,34135.58,0.090030771570031,0.076085366622533,82620
4108403,39298,2020-04-26,2020-05-02,SUL,PARANA,FRANCISCO BELTRAO,GASOLINA COMUM,8,R$/l,3.845,0.07211102550928,3.69,3.89,0.655,0.019,3.19,0,3.19,3.19,0,NA,05/01/2020 EM DIANTE,TODOS,NA,150.1746950150059,24.144072936967078,122.59626663462902,189.7257874355028,1448.4017453636777,919.9723244398425,374.4347848242105,2923.3089962710883,2843645.91,3069185.799,32502.15,34693.79,0.079313633320824,0.067430616128471,91093
4114609,39402,2020-04-26,2020-05-02,SUL,PARANA,MARECHAL CANDIDO RONDON,GASOLINA COMUM,6,R$/l,3.817,0.09852241707686,3.69,3.95,0.647,0.026,3.17,0,3.17,3.17,0,NA,05/01/2020 EM DIANTE,TODOS,NA,128.0154015618298,65.48263273304423,55.89301890045562,242.63387184282522,1474.7414271842183,843.2054657797289,486.3210503290305,2862.8004310886167,2078276.247,2199043.85,40507.47,42456.68,0.058109504534986,0.0481197665517,52944
4115200,39405,2020-04-26,2020-05-02,SUL,PARANA,MARINGA,GASOLINA COMUM,17,R$/l,3.765,0.086176972494021,3.59,3.89,0.586,0.023,3.179,0.068250391940267,3.028,3.32,0.021,NA,05/01/2020 EM DIANTE,TODOS,NA,86.20150728999018,55.78091505197836,4.970498640596804,152.0417013608465,1298.0741713929638,817.820302113666,352.13204359712114,2623.489094663096,16092130.185,16906177.37,39924.6,41569.88,0.050586664142128,0.041209680247266,423666
4118402,39445,2020-04-26,2020-05-02,SUL,PARANA,PARANAVAI,GASOLINA COMUM,6,R$/l,3.927,0.052788887719544,3.87,3.99,0.538,0.013,3.389,0.086832712729708,3.3274,3.4502,0.026,NA,05/01/2020 EM DIANTE,TODOS,NA,101.77201766827774,39.03704428156877,30.888767824895996,150.74610211505063,1330.6279726870443,793.4015180942549,417.06419324337406,2632.0348432446326,2224810.021,2648763.04,25479.98,30150.97,0.190556953177262,0.183320002605968,88374
4118501,39452,2020-04-26,2020-05-02,SUL,PARANA,PATO BRANCO,GASOLINA COMUM,8,R$/l,3.839,0.107680662145067,3.69,3.999,0.519,0.028,3.32,0,3.32,3.32,0,NA,05/01/2020 EM DIANTE,TODOS,NA,151.50981937624152,28.414298511592964,104.54667105179102,218.0139658369936,1428.496360489241,930.3927347507625,340.0287172241797,2915.9336959221073,3333655.295,3598921.782,41739.04,44590.78,0.079572260334733,0.068323085533352,82881
4127700,39569,2020-04-26,2020-05-02,SUL,PARANA,TOLEDO,GASOLINA COMUM,16,R$/l,3.826,0.074293898358703,3.72,3.99,0.517,0.019,3.309,0.095624778388022,3.18,3.5228,0.029,NA,05/01/2020 EM DIANTE,TODOS,NA,107.22945381834785,72.97010109161677,37.40764946070703,230.84588065733382,1455.1028508453762,854.873505290148,450.5084700550634,2854.306195664287,5407334.646,5929258.473,40406.31,43746.1,0.096521458568518,0.08265515955305,140635
4128104,39581,2020-04-26,2020-05-02,SUL,PARANA,UMUARAMA,GASOLINA COMUM,14,R$/l,3.799,0.123877021612228,3.66,3.999,NA,0.033,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,NA,96.97556210178509,50.68331261555639,5.697565184999794,140.2104180073547,1402.2571484782115,815.8029550402655,445.75218805164286,2746.391039234514,3159548.857,3284406.092,28951.63,29870.46,0.03951742500306,0.03173672777664,111557
4101804,39178,2020-04-26,2020-05-02,SUL,PARANA,ARAUCARIA,GASOLINA COMUM,8,R$/l,3.534,0.116319065505187,3.399,3.699,0.465,0.033,3.069,0,3.0689,3.0689,0,NA,05/01/2020 EM DIANTE,TODOS,NA,7.29693461741175,7.950318954708102,3.417511951043797,31.02211859823821,1202.3240780620401,948.0528145456959,5.168384868860882,2728.8539859382245,16979842.877,16972344.975,125350.42,123478.34,-4.4157664204e-4,-0.014934772456287,143843
4104204,39237,2020-04-26,2020-05-02,SUL,PARANA,CAMPO LARGO,GASOLINA COMUM,6,R$/l,3.593,0.089563385375945,3.49,3.69,0.316,0.025,3.277,0.040454583588678,3.2522,3.324,0.012,NA,05/01/2020 EM DIANTE,TODOS,NA,21.29944834059566,4.73798762227177,19.088579370880524,35.44940386274101,1202.9003456840276,942.137241927765,19.647285509557044,2710.0967561733273,3810959.602,4151593.07,30313.31,32610.37,0.089382597449009,0.075777274075315,132002
4104907,39249,2020-04-26,2020-05-02,SUL,PARANA,CASTRO,GASOLINA COMUM,6,R$/l,3.72,0.209284495364564,3.57,3.99,NA,0.056,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,NA,106.26830749058034,0.585757816195786,105.46853603642849,107.05374186265963,1204.2701361076636,909.9129847119117,106.07801473945098,2639.3052864694623,2505435.911,2658988.598,35208.98,37188.13,0.061287812761777,0.056211511949508,71484
4105805,39259,2020-04-26,2020-05-02,SUL,PARANA,COLOMBO,GASOLINA COMUM,17,R$/l,3.621,0.182971811554483,3.299,3.999,0.335,0.051,3.286,0.192120912448385,3.15,3.4217,0.058,NA,05/01/2020 EM DIANTE,TODOS,NA,30.826740988354906,6.399655224487448,11.806687999276171,34.30407289401054,1181.4518652369266,938.1325148499744,32.3764197917659,2707.2082181834435,4685616.312,4733738.01,19943.8,19939.76,0.010270089310719,-2.02569219507e-4,243726
4106407,39265,2020-04-26,2020-05-02,SUL,PARANA,CORNELIO PROCOPIO,GASOLINA COMUM,6,R$/l,4.095,0.124859921512069,3.89,4.19,0.905,0.03,3.19,0,3.19,3.19,0,NA,05/01/2020 EM DIANTE,TODOS,NA,104.76073720845757,32.53211103081751,58.36131743244361,141.12977702375653,1207.799488636127,825.3077748774616,293.5721823468613,2521.3692285352436,1407158.651,1447867.116,28944.95,29744.38,0.028929548897042,0.027618980167525,47845
4106902,39279,2020-04-26,2020-05-02,SUL,PARANA,CURITIBA,GASOLINA COMUM,53,R$/l,3.355,0.104141061390953,3.179,3.78,NA,0.031,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,NA,16.609843566129513,2.406630867468137,9.861119018567695,18.69449116861517,1189.2336678842382,943.1553347806848,16.794918126953526,2718.91502419627,83746836.773,84702356.72,44216.98,44384.92,0.011409624337096,0.003798088426663,1933105
4113700,39389,2020-04-26,2020-05-02,SUL,PARANA,LONDRINA,GASOLINA COMUM,19,R$/l,3.661,0.148324896270994,3.43,3.89,0.407,0.041,3.254,0.229041924837645,2.99,3.3931,0.07,NA,05/01/2020 EM DIANTE,TODOS,NA,94.37787260099509,48.26844355939755,6.329845085448606,138.23067521774036,1243.2436342749859,823.8869579478467,308.3189910494198,2562.233970113932,18474866.202,19235187.722,33384.71,34444.56,0.041154372198793,0.03174656901318,569733
4118204,39444,2020-04-26,2020-05-02,SUL,PARANA,PARANAGUA,GASOLINA COMUM,9,R$/l,3.865,0.139173552723848,3.599,3.99,0.565,0.036,3.3,0,3.3,3.3,0,NA,05/01/2020 EM DIANTE,TODOS,NA,83.32289244231316,5.301709181098394,67.4958648834431,85.68942967166902,1164.4569925197386,944.6176761699296,84.7776146636957,2760.734369825166,8308347.567,9856373.504,54721.74,64431.27,0.186321759473402,0.177434599119107,154936
4119152,39465,2020-04-26,2020-05-02,SUL,PARANA,PINHAIS,GASOLINA COMUM,11,R$/l,3.561,0.146331193468167,3.36,3.799,0.316,0.041,3.245,0.088323062295945,3.15,3.3243,0.027,NA,05/01/2020 EM DIANTE,TODOS,NA,20.05599331814766,4.87516595658255,5.620030423410388,22.849203225189083,1186.574854824703,943.5477236849736,21.138680369733596,2723.110560362986,5386041.042,5593789.573,41994.46,43213.64,0.038571657620131,0.029031924687209,132157
4119905,39473,2020-04-26,2020-05-02,SUL,PARANA,PONTA GROSSA,GASOLINA COMUM,15,R$/l,3.461,0.129546939461376,3.29,3.649,0.287,0.037,3.174,0.065478087937874,3.1277,3.2203,0.021,NA,05/01/2020 EM DIANTE,TODOS,NA,96.13795577051273,2.641518213274482,94.66640160676776,103.95679972139634,1223.911007566661,919.7511335140683,95.22228350604246,2675.830370406984,12973746.429,14533644.789,38031.68,42208.23,0.120234996771109,0.109817657279405,351736
4124103,39516,2020-04-26,2020-05-02,SUL,PARANA,SANTO ANTONIO DA PLATINA,GASOLINA COMUM,8,R$/l,3.747,0.118349286315671,3.54,3.89,0.347,0.032,3.4,0,3.4,3.4,0,NA,05/01/2020 EM DIANTE,TODOS,NA,111.28237405361324,48.51007030175073,37.90201809846746,153.80050449512458,1172.9831007423597,840.2243482356915,260.60423844297543,2500.497995060158,1005825.879,1141373.679,22075.98,24910.49,0.134762688880866,0.128397923897376,45993
4125506,39533,2020-04-26,2020-05-02,SUL,PARANA,SAO JOSE DOS PINHAIS,GASOLINA COMUM,16,R$/l,3.468,0.117356437119288,3.29,3.779,0.319,0.034,3.149,0.033234018715768,3.1254,3.1724,0.011,NA,05/01/2020 EM DIANTE,TODOS,NA,17.098442909674656,0.666631240666818,15.773844375452454,17.943086463369855,1191.0717063850389,946.662172297395,16.856736359786872,2732.5222320429893,20145047.721,22581192.463,66538.23,73427.61,0.120930204571343,0.103540175324772,323340
4128203,39583,2020-04-26,2020-05-02,SUL,PARANA,UNIAO DA VITORIA,GASOLINA COMUM,8,R$/l,3.83,0.17976174708287,3.54,3.99,NA,0.047,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,NA,154.7056563944213,41.261255264705085,99.84360164563955,193.3042905304939,1327.8859296564672,948.0890318033952,188.0735688120945,2831.4960832094957,1407132.63,1530300.141,24839.06,26834.66,0.087530847038918,0.080341204538336,57517
4101408,39165,2020-04-26,2020-05-02,SUL,PARANA,APUCARANA,GASOLINA COMUM,14,R$/l,3.796,0.149546806227172,3.49,3.99,0.399,0.039,3.397,0.102954747340761,3.3244,3.47,0.03,NA,05/01/2020 EM DIANTE,TODOS,NA,101.54029674826698,51.62409751774988,39.26184526248718,171.98434462549068,1266.982175199014,831.2884105532509,307.20353692346805,2601.855303999035,2977108.896,3167647.362,22627.39,23872.36,0.064001174513974,0.055020486233719,134996
4101507,39172,2020-04-26,2020-05-02,SUL,PARANA,ARAPONGAS,GASOLINA COMUM,9,R$/l,3.733,0.101899187653506,3.66,3.99,0.578,0.027,3.155,0,3.1554,3.1554,0,NA,05/01/2020 EM DIANTE,TODOS,NA,94.18546707002234,49.431911129668386,27.290450131309363,165.14270764545824,1263.326942875258,824.7820070451567,317.0555906034759,2588.838452901386,4035335.109,4474057.009,34501.84,37763.08,0.108720066152999,0.094523654390607,123027
4103701,39231,2020-04-26,2020-05-02,SUL,PARANA,CAMBE,GASOLINA COMUM,10,R$/l,3.846,0.135581054068119,3.69,3.99,0.508,0.035,3.338,0.043204224330498,3.3079,3.369,0.013,NA,05/01/2020 EM DIANTE,TODOS,NA,90.89884485854864,49.012190759217845,6.425233316079776,145.70517646749758,1250.5476080798953,820.596923416732,318.0327260315753,2567.050219323117,3605364.443,3840715.073,34470.75,36457.75,0.065277902891882,0.05764307420059,106533
4109401,39311,2020-04-26,2020-05-02,SUL,PARANA,GUARAPUAVA,GASOLINA COMUM,14,R$/l,3.688,0.131555445211649,3.49,3.89,0.258,0.036,3.43,0,3.43,3.43,0,NA,05/01/2020 EM DIANTE,TODOS,NA,144.66784491541097,92.93259860071382,2.261807912055752,222.13130966180762,1315.9858709737252,913.1318142363211,211.66397870271902,2771.9653316048907,5239646.946,5606255.298,29229.97,31083.01,0.069968140177817,0.063395207042634,181504
4108304,39296,2020-04-26,2020-05-02,SUL,PARANA,FOZ DO IGUACU,GASOLINA COMUM,16,R$/l,3.716,0.061232752673712,3.63,3.79,0.482,0.016,3.234,0.053220696162301,3.16,3.2768,0.016,NA,05/01/2020 EM DIANTE,TODOS,NA,205.08630048244953,68.43414096000134,121.10778646498298,318.72452842329875,1541.1792577743452,879.3930030498565,524.6363447127934,2978.1260410375503,13550780.66,13463838.397,51345.25,50990.89,-0.006416033524669,-0.006901514745765,258532
1301902,39333,2020-04-26,2020-05-02,NORTE,AMAZONAS,ITACOATIARA,GASOLINA COMUM,12,R$/l,3.946,0.068947718445122,3.84,4,NA,0.017,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,NA,256.99986584538925,98.12363779924165,167.96650998928078,419.19561228808845,2473.823412549945,642.741013037012,168.4408828688269,3268.1076495665247,1891521.729,1978815.238,19202.68,19817.09,0.046149884329455,0.031996054717362,101337
1302504,39397,2020-04-26,2020-05-02,NORTE,AMAZONAS,MANACAPURU,GASOLINA COMUM,6,R$/l,4.515,0.071203932475672,4.45,4.58,NA,0.016,NA,NA,NA,NA,NA,NA,05/01/2020 EM DIANTE,TODOS,NA,325.84619815627434,255.00141461950545,75.3738484368221,661.1093474239352,2602.707021149995,682.1261318483853,75.90133877328813,3305.1425926277284,1316859.655,1525165.205,13813.7,15811.37,0.158183561330232,0.144615128459428,97377
